y,ds
46,2017-03-03
46.130001,2017-03-02
46.41,2017-03-01
45.75,2017-02-28
45.740002,2017-02-27
45.549999,2017-02-24
46.139999,2017-02-23
46.349998,2017-02-22
45.610001,2017-02-21
45.34,2017-02-17
45.689999,2017-02-16
46.720001,2017-02-15
45.580002,2017-02-14
45.57,2017-02-13
45.23,2017-02-10
45.240002,2017-02-09
45.189999,2017-02-08
44.59,2017-02-07
44.529999,2017-02-06
43.990002,2017-02-03
44,2017-02-02
44.259998,2017-02-01
44.150002,2017-01-31
44.220001,2017-01-30
44.709999,2017-01-27
45.080002,2017-01-26
45,2017-01-25
44.220001,2017-01-24
42.450001,2017-01-23
42.540001,2017-01-20
42.189999,2017-01-19
42.150002,2017-01-18
42.18,2017-01-17
42.459999,2017-01-13
42.459999,2017-01-12
42.59,2017-01-11
42.369999,2017-01-10
41.66,2017-01-09
41.34,2017-01-06
41.369999,2017-01-05
40.25,2017-01-04
39.18,2017-01-03
39,2016-12-30
38.93,2016-12-29
39.220001,2016-12-28
39.07,2016-12-27
38.810001,2016-12-23
38.790001,2016-12-22
39.32,2016-12-21
39.18,2016-12-20
38.790001,2016-12-19
39.220001,2016-12-16
40,2016-12-15
41.529999,2016-12-14
41.790001,2016-12-13
41.529999,2016-12-12
41.799999,2016-12-09
41.599998,2016-12-08
40.57,2016-12-07
40.419998,2016-12-06
40.389999,2016-12-05
40.32,2016-12-02
41.040001,2016-12-01
41.669998,2016-11-30
41.830002,2016-11-29
41.700001,2016-11-28
41.080002,2016-11-25
40.98,2016-11-23
41.400002,2016-11-22
41.48,2016-11-21
41.650002,2016-11-18
41.650002,2016-11-17
41.049999,2016-11-16
40.450001,2016-11-15
40.389999,2016-11-14
40.52,2016-11-11
41.650002,2016-11-10
41.389999,2016-11-09
41.279999,2016-11-08
41.23,2016-11-07
40.669998,2016-11-04
40.75,2016-11-03
42.16,2016-11-02
41.34,2016-11-01
42.16,2016-10-31
42.220001,2016-10-28
42.490002,2016-10-27
42.439999,2016-10-26
42.75,2016-10-25
42.68,2016-10-24
42.200001,2016-10-21
42.689999,2016-10-20
42.939999,2016-10-19
42.610001,2016-10-18
41.939999,2016-10-17
42.25,2016-10-14
42.080002,2016-10-13
42.779999,2016-10-12
44.080002,2016-10-11
44.07,2016-10-10
43.68,2016-10-07
43.82,2016-10-06
43.869999,2016-10-05
43.5,2016-10-04
43.18,2016-10-03
43.25,2016-09-30
43.299999,2016-09-29
43.720001,2016-09-28
43.41,2016-09-27
42.740002,2016-09-26
43.759998,2016-09-23
44.869999,2016-09-22
44.220001,2016-09-21
43.389999,2016-09-20
43.950001,2016-09-19
44.02,2016-09-16
44.049999,2016-09-15
43.619999,2016-09-14
43.52,2016-09-13
43.650002,2016-09-12
44.150002,2016-09-09
44.720001,2016-09-08
44.919998,2016-09-07
44.849998,2016-09-06
43.599998,2016-09-02
43.099998,2016-09-01
42.799999,2016-08-31
42.740002,2016-08-30
42.459999,2016-08-29
42.610001,2016-08-26
42.240002,2016-08-25
42.77,2016-08-24
42.91,2016-08-23
42.869999,2016-08-22
43.119999,2016-08-19
42.970001,2016-08-18
42.75,2016-08-17
42.790001,2016-08-16
43.290001,2016-08-15
42.98,2016-08-12
41.73,2016-08-11
39.98,2016-08-10
39.310001,2016-08-09
39.27,2016-08-08
39.150002,2016-08-05
39.029999,2016-08-04
38.549999,2016-08-03
38.669998,2016-08-02
38.889999,2016-08-01
38.52,2016-07-29
38.639999,2016-07-28
38.77,2016-07-27
38.830002,2016-07-26
39.209999,2016-07-25
39.419998,2016-07-22
39.25,2016-07-21
38.93,2016-07-20
38.490002,2016-07-19
37.970001,2016-07-18
38.189999,2016-07-15
38.349998,2016-07-14
38.009998,2016-07-13
38.330002,2016-07-12
38.150002,2016-07-11
37.84,2016-07-08
37.759998,2016-07-07
37.560001,2016-07-06
37.77,2016-07-05
38.080002,2016-07-01
37.580002,2016-06-30
37.080002,2016-06-29
36.139999,2016-06-28
36.009998,2016-06-27
36.950001,2016-06-24
37.779999,2016-06-23
37.52,2016-06-22
37.549999,2016-06-21
37.68,2016-06-20
37.439999,2016-06-17
37.450001,2016-06-16
37.599998,2016-06-15
37.439999,2016-06-14
36.91,2016-06-13
37.139999,2016-06-10
37.73,2016-06-09
37.299999,2016-06-08
36.990002,2016-06-07
37.200001,2016-06-06
37.110001,2016-06-03
37.220001,2016-06-02
37.740002,2016-06-01
38.080002,2016-05-31
37.880001,2016-05-27
36.849998,2016-05-26
36.959999,2016-05-25
37.630001,2016-05-24
36.950001,2016-05-23
36.720001,2016-05-20
37.23,2016-05-19
37.5,2016-05-18
37.700001,2016-05-17
37.790001,2016-05-16
37.07,2016-05-13
37.509998,2016-05-12
37.630001,2016-05-11
37.580002,2016-05-10
37.349998,2016-05-09
37.310001,2016-05-06
37.450001,2016-05-05
36.09,2016-05-04
36.41,2016-05-03
36.740002,2016-05-02
36.98,2016-04-29
37.439999,2016-04-28
37.59,2016-04-27
37.540001,2016-04-26
37.540001,2016-04-25
38.09,2016-04-22
